OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Address with USA,Latitude,Longitude,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
123800,Mills College,"1,135,582.00","567,791.00","5000 MacArthur Blvd, Oakland, California 94613","5000 MacArthur Blvd, Oakland, California 94613, USA",37.7773714,-122.1842278,"4-year, Private not-for-profit",1122,723,57%,
3144400,American College Of Healthcare And Technology,"1,134,326.00","567,163.00","11801 Pierce St., Suite 100, Riverside, California 92505","11801 Pierce St., Suite 100, Riverside, California 92505, USA",33.9015972,-117.4935939,"2-year, Private for-profit",83,83,85%,
130900,Taft College,"1,122,910.00","561,455.00","29 Cougar Court, Taft, California 93268","29 Cougar Court, Taft, California 93268, USA",35.1492183,-119.4601285,"2-year, Public",5968,5968,36%,7%
117900,Notre Dame De Namur University,"1,121,450.00","560,725.00","1500 Ralston Ave, Belmont, California 94002-1908","1500 Ralston Ave, Belmont, California 94002-1908, USA",37.5173394,-122.2867436,"4-year, Private not-for-profit",1363,795,52%,39%
2596400,Spartan College Of Aeronautics & Technology,"1,117,522.00","558,761.00","8911 Aviation Blvd, Inglewood, California 90301-2904","8911 Aviation Blvd, Inglewood, California 90301-2904, USA",33.9559878,-118.377513,"2-year, Private for-profit",415,415,95%,
2482700,Western University Of Health Sciences,"1,105,699.00","552,850.00","309 E 2nd St, Pomona, California 91766-1854","309 E 2nd St, Pomona, California 91766-1854, USA",34.0581487,-117.747508,"4-year, Private not-for-profit",3792,,,
125100,Otis College Of Art & Design,"1,100,507.00","550,254.00","9045 Lincoln Blvd, Los Angeles, California 90045-3505","9045 Lincoln Blvd, Los Angeles, California 90045-3505, USA",33.9565585,-118.41636,"4-year, Private not-for-profit",1183,1125,66%,
697300,Canada College,"1,098,544.00","549,272.00","4200 Farm Hill Blvd., Redwood City, California 94061-1099","4200 Farm Hill Blvd., Redwood City, California 94061-1099, USA",37.4473861,-122.2663635,"2-year, Public",5799,5799,32%,8%
672000,College Of Alameda,"1,049,170.00","524,585.00","555 Ralph Appezzato Memorial Pky, Alameda, California 94501","555 Ralph Appezzato Memorial Pky, Alameda, California 94501, USA",37.7808735,-122.2793041,"2-year, Public",5667,5667,27%,13%
113200,California Institute Of The Arts,"1,014,886.00","507,443.00","24700 W McBean Pky, Valencia, California 91355-2397","24700 W McBean Pky, Valencia, California 91355-2397, USA",34.3927517,-118.5673382,"4-year, Private not-for-profit",1520,1021,61%,16%
770700,Columbia College,"994,576.00","497,288.00","11600 Columbia College Dr, Sonora, California 95370","11600 Columbia College Dr, Sonora, California 95370, USA",38.0305209,-120.3865357,"2-year, Public",2616,2616,25%,14%
3171300,University Of St. Augustine For Health Sciences,"993,092.00","496,546.00","700 Windy Point Drive, San Marcos, California 92069","700 Windy Point Drive, San Marcos, California 92069, USA",33.1518924,-117.1659041,"4-year, Private for-profit",4353,,,
853700,Concorde Career College,"982,367.00","491,184.00","201 East Airport Drive, Suite A, San Bernardino, California 92408-3403","201 East Airport Drive, Suite A, San Bernardino, California 92408-3403, USA",34.0667834,-117.2840338,"2-year, Private for-profit",572,572,77%,
113400,California State University Maritime Academy,"977,757.00","488,879.00","200 Maritime Academy Dr, Vallejo, California 94590-8181","200 Maritime Academy Dr, Vallejo, California 94590-8181, USA",38.0692105,-122.2325063,"4-year, Public",941,911,67%,4%
134100,Westmont College,"950,992.00","475,496.00","955 La Paz Rd, Santa Barbara, California 93108-1089","955 La Paz Rd, Santa Barbara, California 93108-1089, USA",34.450362,-119.6615508,"4-year, Private not-for-profit",1317,1317,79%,19%
122000,Master'S University And Seminary (The),"936,440.00","468,220.00","21726 Placerita Canyon Road, Santa Clarita, California 91321-1200","21726 Placerita Canyon Road, Santa Clarita, California 91321-1200, USA",34.3817734,-118.5175513,"4-year, Private not-for-profit",2006,1305,70%,5%
2343400,Bellus Academy,"915,623.00","457,812.00","13266 Poway Rd, Poway, California 92064","13266 Poway Rd, Poway, California 92064, USA",32.9571791,-117.0425569,"2-year, Private for-profit",372,372,80%,
2497300,Milan Institute,"914,326.00","457,163.00","6500 S. Mooney Blvd., Visalia, California 93277","6500 S. Mooney Blvd., Visalia, California 93277, USA",36.2715464,-119.3118755,"< 2-year, Private for-profit",395,395,79%,
