"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Design Institute of San Diego","8555 Commerce Ave, San Diego, California 92121","www.disd.edu","4-year, Private for-profit","Bachelor's degree","City: Large","No","121","121","56%","6%","Fall 2013","$24,921","-","113582","02298000"
"Design's School of Cosmetology","2727 Buena Vista Drive #105, Paso Robles, California 93446","www.designsschool.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","27","27","69%","NA","2016-17","$10,225","Cosmetology/Cosmetologist, General","441256","03646300"
"DeVry University-California","2970 E Inland Empire Blvd, Ste 100, Ontario, California 91764","https://www.devry.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Midsize","No","2079","1683","28%","28%","Fall 2013","$26,056","-","482431","01072706"
"Diamond Beauty College","10301 Garvey Avenue  #200, South El Monte, California 91733-2180","www.diamondbeauty.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","47","47","94%","NA","2016-17","$5,530","Nail Technician/Specialist and Manicurist","476780","04195200"
"Diversified Vocational College","1670 Wilshire Blvd, Los Angeles, California 90017-1604","www.dvcla.edu","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","580","580","50%","NA","2016-17","$21,754","Traffic, Customs, and Transportation Clerk/Technician","395690","02553600"
"Elegance International","6767 Sunset Blvd, Hollywood, California 90028","ei.edu/","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","","","52%","NA","2016-17","NA","Make-Up Artist/Specialist","114044",""
"Elite Cosmetology School","56300 Twentynine Palms Highway, Suite 113, Yucca Valley, California 92284-2860","eliteschools.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","113","113","57%","NA","2016-17","$13,224","Cosmetology/Cosmetologist, General","461607","04175400"
"Emperor's College of Traditional Oriental Medicine","1807 Wilshire Blvd, Ste #200, Santa Monica, California 90403","www.emperors.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","City: Small","No","237","","NA","NA","Fall 2013","NA","-","114114","02609000"
"Empire College","3035 Cleveland Ave, Santa Rosa, California 95403-2126","www.empcol.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Master's degree|Doctor's degree - professional practice","City: Midsize","No","371","299","57%","NA","Fall 2013","$22,814","Medical/Clinical Assistant","114123","00903200"
"Estes Institute of Cosmetology Arts and Science","324 E Main St, Visalia, California 93291","www.estescosmetology.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","53","53","89%","NA","2016-17","$8,671","Cosmetology/Cosmetologist, General","417062","02167800"
"Federico Beauty Institute","1515 Sports Drive    Ste 100, Sacramento, California 95834","federico.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","326","326","78%","NA","2016-17","$16,843","Cosmetology/Cosmetologist, General","114460","00725300"
"FIDM-Fashion Institute of Design & Merchandising-Los Angeles","919 S Grand Ave, Los Angeles, California 90015-1421","www.fidm.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","2227","2195","71%","NA","Fall 2013","$41,020","-","114354","01111200"
"FIDM-Fashion Institute of Design & Merchandising-Orange County","17590 Gillette Avenue, Irvine, California 92614-5610","www.FIDM.edu","2-year, Private for-profit","Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","-","11435401","01111203"
"FIDM-Fashion Institute of Design & Merchandising-San Diego","350 Tenth Avenue, Third Floor, San Diego, California 92101-4903","www.FIDM.edu","2-year, Private for-profit","Associate's degree","City: Large","No","","","NA","NA","Fall 2016","NA","-","11435402","01111204"
"FIDM-Fashion Institute of Design & Merchandising-San Francisco","55 Stockton St, San Francisco, California 94108-5805","www.fidm.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","188","188","NA","NA","Fall 2013","$39,343","-","114390","01111202"
"Five Branches University","200 7th Avenue, Santa Cruz, California 95062","www.fivebranches.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","Suburb: Midsize","No","353","","NA","NA","Fall 2013","NA","-","114585","03131300"
"Flair Beauty College","23754 Valencia Blvd, Valencia, California 91355-2106","flairbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","62","62","77%","NA","2016-17","$9,022","Cosmetology/Cosmetologist, General","476513","04158900"
"Fredrick and Charles Beauty College","831 F St, Eureka, California 95501","www.fandcbeauty.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","55","55","64%","NA","2016-17","$14,866","Cosmetology/Cosmetologist, General","114761","02230900"
"Fremont College","18000 Studebaker Road Suite 900A, Cerritos, California 90703","https://www.fremont.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","191","191","52%","NA","Fall 2013","$22,618","Therapeutic Recreation/Recreational Therapy","372073","03039900"
"Galaxy Medical College","6400 Laurel Canyon Boulevard, Suite 115, North Hollywood, California 91606-1593","www.galaxymedicalcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","51","51","91%","NA","Fall 2016","$9,224","Medical Administrative/Executive Assistant and Medical Secretary","461254","04159600"
"Glendale Career College","240 North Brand Boulevard Lower Level, Glendale, California 91203","www.success.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Midsize","No","611","611","68%","NA","Fall 2013","$35,363","Registered Nursing/Registered Nurse","115010","02338500"
"Glendale Career College-Brightwood Teachout","8888 Balboa Avenue, San Diego, California 92123-1506","glendalecareer.com","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","162","162","NA","NA","Fall 2016","NA","Registered Nursing/Registered Nurse","494746","02338515"
"Gnomon","1015 N Cahuenga Blvd Ste 54301, Hollywood, California 90038","https://www.gnomon.edu","4-year, primarily associate's, Private for-profit","Two but less than 4 years certificate|Bachelor's degree","City: Large","No","399","399","0%","NA","Fall 2013","$40,741","-","449384","04076400"
"Gurnick Academy of Medical Arts","2121 S El Camino Real Bldg C 200, San Mateo, California 94403","www.gurnick.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","2042","2042","56%","NA","Fall 2013","$25,788","Licensed Practical/Vocational Nurse Training","459213","04169800"
"Healing Hands School of Holistic Health","125 W Mission Ave Ste 212, Escondido, California 92025","https://hhs.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","337","337","72%","NA","2016-17","$37,908","Massage Therapy/Therapeutic Massage","454795","04141700"
"Healthcare Career College","8527 Alondra Blvd, #174, Paramount, California 90723-5258","https://healthcarecareercollege.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","333","333","95%","NA","Fall 2016","$19,531","Medical/Clinical Assistant","450960","04132700"
"High Desert Medical College","701 West Avenue K suite 123, Lancaster, California 93534","www.hdmc.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","704","704","71%","NA","Fall 2016","$27,115","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","484002","04228100"
"High Desert Medical College - Bakerfield","2000 24th street, Bakersfield, California 93301","www.hdmc.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","","","NA","NA","Fall 2016","NA","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","48400201","04228101"
"High Desert Medical College - Temecula","31625 De Portola Road Suite 200, Temecula, California 92592","","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","","No","","","NA","NA","Fall 2016","NA","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","48400202","04228102"
"Hilltop Beauty School","6317 Mission St, Daly City, California 94014","www.hilltopbeautyschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","111","111","57%","NA","2016-17","$11,550","Cosmetology/Cosmetologist, General","115658","02285100"
"Hinton Barber and Beauty College","1035 Tennessee St., Vallejo, California 94590","hintonbarberbeauty.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","56","56","68%","NA","2016-17","$11,430","Barbering/Barber","480000","04209800"
"Hoss Lee Academy","200 Whyte Avenue, Roseville, California 95661-5233","hossleeacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","75","75","82%","NA","2016-17","$17,097","Cosmetology/Cosmetologist, General","488411","04255300"
"Hussian College-Los Angeles","1201 W. 5th Street, Los Angeles, California 90017-2019","relativityschool.org","4-year, Private for-profit","Bachelor's degree|Postbaccalaureate certificate","City: Large","No","333","320","NA","NA","Fall 2013","$44,791","-","486965","00746901"
"Independent Training & Apprenticeship Program","9856 Business Park Drive, Sacramento, California 95827-1741","www.i-tap.com","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","21","21","85%","NA","2016-17","$17,949","Electrician","491880","04272800"
"Institute for Business and Technology","2400 Walsh Avenue, Santa Clara, California 95051-1303","https://ibt.edu/","2-year, Private for-profit","Less than one year certificate|Associate's degree","City: Midsize","No","542","542","80%","NA","Fall 2016","$25,730","Electrician","115931","02128300"
"Institute of Culinary Education","521 East Green Street, Pasadena, California 91101-5221","www.ice.edu/losangeles","< 2-year, Private for-profit","Less than one year certificate","City: Midsize","No","114","114","NA","NA","2016-17","NA","Culinary Arts/Chef Training","493080","04144301"
"Institute of Technology","564  W Herndon, Clovis, California 93612","www.iot.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","1310","1310","70%","NA","Fall 2016","$21,793","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","431141","03067500"
"Integrity College of Health","1460 N Lake Ave Suite 102, Pasadena, California 91104","https://ich.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","30","30","62%","NA","2016-17","$35,430","Practical Nursing, Vocational Nursing and Nursing Assistants, Other","483373","04181600"
"InterCoast Colleges-Fairfield","5253 Business Ctr. Dr. Ste B, Fairfield, California 94534","https://www.intercoast.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","136","136","76%","NA","Fall 2016","$19,712","Electrician","481960","02559410"
"InterCoast Colleges-Rancho Cordova","9738 Lincoln Village Dr. Suite 120, Rancho Cordova, California 95827","https://www.intercoast.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","117","117","68%","NA","2016-17","$21,466","Electrician","457208","02559406"
"InterCoast Colleges-Riverside","1989 Atlanta Ave, Riverside, California 92507","https://www.intercoast.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","159","159","90%","5%","Fall 2016","$20,419","Electrician","442888","02559402"
"InterCoast Colleges-Santa Ana","1720 E. Garry Ave, Suite 103, Santa Ana, California 92705","https://www.intercoast.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","226","226","60%","NA","Fall 2016","$23,908","Substance Abuse/Addiction Counseling","366289","02559400"
"InterCoast Colleges-West Covina","2235 East Garvey Ave. North, W. Covina, California 91791","https://www.intercoast.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","151","151","62%","NA","Fall 2016","$19,123","Electrician","443571","02559403"
"Interior Designers Institute","1061 Camelback Street, Newport Beach, California 92660","https://www.idi.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","No","139","139","NA","NA","Fall 2013","$26,518","-","116226","02520300"
"International College of Beauty Arts & Sciences","5225 San Fernando Road West, Los Angeles, California 90039-1012","www.icbas.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","49","49","90%","NA","2016-17","$18,052","Cosmetology/Cosmetologist, General","462336","04186900"
"International College of Cosmetology","3701 International Boulevard, Oakland, California 94601-3525","www.icoc.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","223","223","66%","NA","2016-17","$2,245","Nail Technician/Specialist and Manicurist","461175","04145600"
"International School of Beauty Inc","72261 Hwy 111 Ste 121-B, Palm Desert, California 92260-2740","https://btyschool.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","143","143","74%","NA","2016-17","$8,990","Cosmetology/Cosmetologist, General","113449","03964400"
"International School of Cosmetology","3400 Bristol St - TONI&GUY Hairdressing Academy, Costa Mesa, California 92626","toniguy.com/academy/costa_mesa_beauty_school/default.aspx","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","","","NA","NA","2016-17","NA","Cosmetology/Cosmetologist, General","11635001","02255401"
"International School of Cosmetology","464 N. Fairfax Ave, Los Angeles, California 90036","www.toniguy.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","191","191","64%","NA","2016-17","$16,175","Cosmetology/Cosmetologist, General","116350","02255400"
"International Sports Sciences Association","1015 Mark Avenue, Carpinteria, California 93013-2912","college.issaonline.edu","2-year, Private for-profit","Associate's degree","Suburb: Midsize","No","379","379","NA","NA","Fall 2016","NA","-","485519","04243400"
"J D Academy of Salon and Spa","520 San Ramon Valley Blvd, Danville, California 94526","https://jdacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","128","128","95%","NA","2016-17","$19,811","Cosmetology/Cosmetologist, General","481474","04217500"
"John Wesley International Barber and Beauty College","920 Atlantic Avenue Suite 200, Long Beach, California 90813","https://www.johnwesleybarberbeauty.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","66","66","56%","NA","2016-17","$8,252","Barbering/Barber","428125","03125300"
"KC Beauty Academy","706 East 1st Street, Los Angeles, California 90012-4303","www.kcbeautyacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","","","50%","NA","2016-17","NA","Aesthetician/Esthetician and Skin Care Specialist","494658","04280400"
"Lancaster Beauty School","44646 N 10th St W, Lancaster, California 93534","lancasterbeautyschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","134","134","86%","NA","2016-17","$10,645","Cosmetology/Cosmetologist, General","117238","01301000"
"Laurus College","81 Higuera St Ste 110, San Luis Obispo, California 93401","www.lauruscollege.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Small","No","878","878","82%","3%","Fall 2013","$11,878","Medical Insurance Specialist/Medical Biller","454786","04141400"
"Lawrence & Company College of Cosmetology","2048 Grant Street, Selma, California 93662-3509","www.lawrencecosmetology.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Fringe","No","41","41","68%","NA","2016-17","$16,881","Cosmetology/Cosmetologist, General","483957","04226100"
"Lawrence & Company College of Cosmetology","810 North 10th Avenue, Hanford, California 93230-4102","www.lawrenceandco.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","48","48","71%","NA","2016-17","$11,151","Cosmetology/Cosmetologist, General","481298","04212000"
"Lincoln Law School of Sacramento","3140 J Street, Sacramento, California 95816","www.lincolnlaw.edu","4-year, Private for-profit","Doctor's degree - professional practice","City: Large","No","207","","NA","NA","Fall 2013","NA","-","117548",""
"Los Angeles Academy of Figurative Art","16926 Saticoy Street, Van Nuys, California 91406-2127","laafa.edu","4-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","6","6","60%","NA","Fall 2013","NA","-","490124","04248300"
"Los Angeles College of Music","300 S Fair Oaks Ave, Pasadena, California 91105","www.lacm.edu","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","Yes","288","288","47%","NA","Fall 2013","$35,872","-","446385","03868400"
"Los Angeles Film School","6363 Sunset Blvd, Hollywood, California 90028-7318","www.lafilm.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","5151","5151","55%","13%","Fall 2013","$30,459","Music Technology","436429","04037300"
"Los Angeles Pacific College","3325 Wilshire Boulevard Suite 550, Los Angeles, California 90010-1758","www.lapacific.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","81","81","NA","NA","Fall 2016","NA","-","400558","03124500"
"Lu Ross Academy","470 East Thompson Blvd, Ventura, California 93001-2729","www.lurossacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","215","215","68%","NA","2016-17","$12,141","Cosmetology/Cosmetologist, General","117955","01186600"
"Lyle's College of  Beauty","6735 N First Ave Ste 112, Fresno, California 93710","lylescolleges.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","83","83","40%","NA","2016-17","$13,927","Cosmetology/Cosmetologist, General","118143","00714200"
"Lyle's College of Beauty","2935 F St, Bakersfield, California 93301","lylescolleges.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","88","88","79%","NA","2016-17","$19,192","Cosmetology/Cosmetologist, General","118134","00714201"
"Lytles Redwood Empire Beauty College Inc","186 Wikiup Dr, Santa Rosa, California 95403","www.lytlesrebc.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","115","115","76%","NA","2016-17","$17,255","Cosmetology/Cosmetologist, General","118161","01324000"
"Make-up Designory","129 S. San Fernando Blvd., Burbank, California 91502","mud.edu/locations/los-angeles","< 2-year, Private for-profit","Less than one year certificate","City: Midsize","Yes","262","262","91%","NA","2016-17","$30,259","Make-Up Artist/Specialist","449366","04092400"
"Marian Health Careers Center-Los Angeles Campus","3325 Wilshire Blvd Ste 1010, Los Angeles, California 90010","www.mariancollege.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","210","210","55%","NA","2016-17","$22,528","Licensed Practical/Vocational Nurse Training","411684","03440400"
"Marian Health Careers Center-Van Nuys Campus","5900 Sepulveda Blvd Ste 101, Van Nuys, California 91411","www.mariancollege.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","128","128","33%","NA","2016-17","$24,193","Licensed Practical/Vocational Nurse Training","475282","03440402"
"Mayfield College","35-325 Date Palm Dr Ste 101, Cathedral City, California 92234","www.mayfieldcollege.edu","2-year, Private for-profit","Less than one year certificate|Associate's degree","Suburb: Large","No","468","468","84%","NA","Fall 2016","$25,208","Medical/Clinical Assistant","454698","04115600"
"Medical Allied Career Center","12631 East Imperial Highway Bldg D-108, Santa Fe Springs, California 90670-4710","www.medicalallied.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree","Suburb: Large","No","70","70","85%","NA","Fall 2013","$28,710","Licensed Practical/Vocational Nurse Training","476595","04185600"
"Medical Career College of Northern California","1220 Melody Lane, Roseville, California 95678-5133","https://medicalcareercollege.net","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","14","14","NA","NA","2016-17","$27,089","-","493479","04137600"
"Meridian University","47 Sixth Street, Petaluma, California 94952-3092","meridianuniversity.edu","4-year, Private for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","113","","NA","NA","Fall 2013","NA","-","491808","04271100"
"Miami Ad School-San Francisco","500 Sansome St, B1, San Francisco, California 94111","www.miamiadschool.com","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Large","No","36","36","NA","NA","Fall 2016","NA","-","440819","03125602"
"Milan Institute of Cosmetology-Fairfield","934 Missouri Street, Fairfield, California 94533","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","60","60","38%","NA","2016-17","$19,491","Cosmetology/Cosmetologist, General","454546","02248205"
"Milan Institute of Cosmetology-La Quinta","78-900 Highway 111, La Quinta, California 92253","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","134","134","44%","NA","2016-17","$21,249","Cosmetology/Cosmetologist, General","460516","02248210"
"Milan Institute-Bakersfield","2822 F Street, Ste H, Bakersfield, California 93301","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","317","317","53%","NA","2016-17","$22,774","Cosmetology/Cosmetologist, General","457077","03422302"
"Milan Institute-Bakersfield West","3115 N. Sillect, Bakersfield, California 93308-9301","www.milaninstitute.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","69","69","67%","NA","2016-17","$29,315","Electrician","489760","03422309"
"Milan Institute-Fresno","255 W. Bullard Ave, Fresno, California 93704","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","437","437","52%","NA","2016-17","$19,971","Aesthetician/Esthetician and Skin Care Specialist","448895","03422301"
"Milan Institute-Merced","780 Loughborough Drive, Merced, California 95340-2626","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","319","319","53%","NA","2016-17","$29,094","Medical/Clinical Assistant","482060","03422308"
"Milan Institute-Palm Desert","75-030 Gerald Ford Drive, Suite 203, Palm Desert, California 92211","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate","City: Small","No","139","139","55%","NA","2016-17","$25,527","Medical/Clinical Assistant","442657","03098700"
"Milan Institute-Visalia","6500 S. Mooney Blvd., Visalia, California 93277","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","395","395","79%","NA","2016-17","$23,992","Cosmetology/Cosmetologist, General","112288","02497300"
"MIXED Institute of Cosmetology & Barber","5950 Florin Road suite 103, Sacramento, California 95823-2370","www.mix-ed.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","75","75","75%","NA","2016-17","$16,827","Barbering/Barber","493761","04281100"
"Modern Beauty Academy","699 South C St, Oxnard, California 93030","www.modernbeautyacademy.org","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","50","50","62%","NA","2016-17","$10,054","Cosmetology/Cosmetologist, General","118958","00720400"
"Modern Technology School","16560 Harbor Blvd., Suite K, Fountain Valley, California 92708-9821","https://www.mtschool.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","95","95","89%","NA","Fall 2016","$20,355","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","371928","03063400"
"Moler Barber College","3815 Telegraph Ave, Oakland, California 94609-2419","moler.org","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","279","279","63%","3%","2016-17","$15,646","Barbering/Barber","118994","02185800"
"MTI College","5221 Madison Avenue, Sacramento, California 95841-9817","www.mticollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","756","756","65%","NA","Fall 2016","$17,774","Phlebotomy Technician/Phlebotomist","118198","01291200"
"Musicians Institute","6752 Hollywood Blvd., Hollywood, California 90028","www.mi.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","Yes","1022","1022","62%","NA","Fall 2013","$34,835","-","119270","02161800"
"My Beauty & Barber College","6100 Mack Road St. F, Sacramento, California 95823-4687","www.mybeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","105","105","0%","NA","2016-17","NA","Barbering/Barber","490337","04262100"
"My Le's Beauty College","4516 Florin Road, Sacramento, California 95823-2513","www.mylebeautycollegeinc.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","254","254","94%","NA","2016-17","NA","Nail Technician/Specialist and Manicurist","439747","03458300"
"National Career College","14355 Roscoe Blvd, Panorama City, California 91402","www.nccusa.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","317","317","69%","NA","Fall 2016","$16,734","Medical/Clinical Assistant","455868","04146000"
"National Career Education","6249 Sunrise Blvd, Citrus Heights, California 95610","nce.edu/","2-year, Private for-profit","Less than one year certificate|Associate's degree","Suburb: Large","No","440","440","79%","NA","Fall 2016","$26,758","Electrician","371964","02128301"
"National Holistic Institute","5900 Doyle Street, Emeryville, California 94608-2008","www.nhi.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","1237","1237","69%","NA","2016-17","$26,760","Massage Therapy/Therapeutic Massage","119553","02542300"
"National Polytechnic College","4105 South Street, Lakewood, California 90712","https://npcollege.edu/index.php","2-year, Private for-profit","Less than one year certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","192","192","51%","NA","Fall 2016","$5,417","Renal/Dialysis Technologist/Technician","447759","03910400"
"New York Film Academy","3300 West Riverside Drive, Burbank, California 91505","www.nyfa.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Midsize","No","1892","1312","69%","NA","Fall 2013","$43,409","-","461148","04118800"
"Newberry School of Beauty","16860 Devonshire Blvd, Granada Hills, California 91344-7401","www.newberryschoolofbeauty.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","113","113","85%","NA","2016-17","$12,874","Aesthetician/Esthetician and Skin Care Specialist","119845","00713000"
"Newschool of Architecture and Design","1249 F St, San Diego, California 92101","www.newschoolarch.edu","4-year, Private for-profit","Bachelor's degree|Master's degree","City: Large","No","497","394","43%","NA","Fall 2013","$38,995","-","119775","03043900"
"North Adrian's College of Beauty Inc","124 Floyd Ave, Modesto, California 95350-2381","www.adrians.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","236","236","57%","NA","2016-17","$17,081","Cosmetology/Cosmetologist, General","119951","00718700"
"North-West College-Anaheim","511 N. Brookhurst Street, Anaheim, California 92801","www.nw.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","204","204","34%","NA","Fall 2016","$26,853","Medical/Clinical Assistant","484367","01287202"
"North-West College-Glendale","221 North Brand, Glendale, California 91203","www.nw.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","154","154","49%","NA","2016-17","$24,915","Medical/Clinical Assistant","372028","01170702"
"North-West College-Long Beach","3799 E. Burnett Street, Long Beach, California 90815-1770","www.nw.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","299","299","36%","NA","Fall 2016","$23,300","Medical/Clinical Assistant","484376","01287203"
"North-West College-Pomona","170  W Holt Ave, Pomona, California 91768","www.north-westcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","187","187","41%","NA","2016-17","$24,707","Medical/Clinical Assistant","120069","01287200"
"North-West College-Riverside","4550 La Sierra Ave, Riverside, California 92503","www.north-westcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","560","560","37%","NA","Fall 2016","$32,380","Medical/Clinical Assistant","445364","01287201"
"North-West College-Van Nuys","14540 Haynes, Van Nuys, California 91411","www.north-westcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","198","198","9%","NA","2016-17","$22,791","Medical/Clinical Assistant","120087","02591600"
