"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Trident University International","5757 Plaza Drive, Suite 100, Cypress, California 90630-5041","www.trident.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","7298","4966","11%","NA","Fall 2013","$13,916","-","450979","04127900"
"Trinity School of Health and Allied Sciences","1225 W. 190th Street, Gardena, California 90248","tshas.edu/","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","","","NA","NA","2016-17","NA","Nursing Assistant/Aide and Patient Care Assistant/Aide","459161",""
"UEI College-Bakersfield","3737 Rosedale Highway, Bakersfield, California 93308-0000","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","990","990","69%","NA","2016-17","$28,960","Medical/Clinical Assistant","482291","03113301"
"UEI College-Fresno","3602 N. Blackstone, Suite 0268, Fresno, California 93726","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","927","927","56%","NA","2016-17","$29,287","Medical/Clinical Assistant","397942","03113300"
"UEI College-Gardena","661 West Redondo Beach Boulevard, Gardena, California 90247","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","953","953","60%","NA","2016-17","$25,540","Medical/Clinical Assistant","393649","03969600"
"UEI College-Riverside","1860 University  Avenue, Riverside, California 92507-5344","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","829","829","59%","NA","2016-17","$27,996","Medical/Clinical Assistant","470038","03969601"
"UEI College-Sacramento","4424 Florin Road, Suite D & E, Sacramento, California 95823-2512","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","613","613","NA","NA","2016-17","$31,854","Medical/Clinical Assistant","494357","03969602"
"United Education Institute-Anaheim","401 Carl Karcher Way, Anaheim, California 92801-2409","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","587","587","59%","NA","2016-17","$26,114","Medical/Clinical Assistant","468909","02559312"
"United Education Institute-Chula Vista","1261 Third Avenue, Suite A, Chula Vista, California 91911-3262","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","823","823","68%","NA","2016-17","$26,668","Medical/Clinical Assistant","447607","02559309"
"United Education Institute-Encino","5445 Balboa Boulevard, Encino, California 91316-1951","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","657","657","73%","NA","2016-17","$25,445","Medical/Clinical Assistant","384245","02559305"
"United Education Institute-Huntington Park Campus","6055 Pacific Boulevard, Huntington Park, California 90255","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","921","921","60%","NA","2016-17","$26,149","Medical/Clinical Assistant","124681","02559300"
"United Education Institute-Ontario","4730 Ontario Mills Parkway, Ontario, California 91764-5574","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","634","634","63%","NA","2016-17","$25,985","Medical/Clinical Assistant","384236","02559304"
"United Education Institute-UEI College San Marcos","2085 Montiel Road, San Marcos, California 92069-3587","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","489","489","67%","NA","2016-17","$26,696","Medical/Clinical Assistant","468848","02559317"
"United Education Institute-UEI College Stockton","4994 Claremont Avenue, Stockton, California 95207-0000","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","679","679","56%","NA","2016-17","$27,354","Medical/Clinical Assistant","480471","02559318"
"United Education Institute-West Covina","339 N. Azusa Avenue, West Covina, California 91731-2806","https://www.uei.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","678","678","69%","NA","2016-17","$25,627","Medical/Clinical Assistant","447616","02559310"
"United States University","7675 Mission Valley Road, San Diego, California 92108","https://www.usuniversity.edu/","4-year, Private for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","No","1243","103","0%","75%","Fall 2013","NA","-","447050","04005300"
"Unitek College","4670 Auto Mall Pkwy, Fremont, California 94538","unitekcollege.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","2147","2147","98%","NA","Fall 2013","$49,181","-","459204","04169700"
"Unitek College","4670 Auto Mall Parkway, Fremont, California 94538-3185","www.unitekcollege.edu/","4-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2013","NA","-","45920401","04169701"
"Unitek College","257 Longford Drive, Rm 5, South San Francisco, California 94080-1005","www.unitekcollege.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","216","216","88%","NA","2016-17","$26,303","Licensed Practical/Vocational Nurse Training","476799","04195402"
"Unitek College","21615 Hesperian Boulevard, Hayward, California 94541-7026","www.unitekcollege.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","153","153","84%","NA","2016-17","$23,035","Licensed Practical/Vocational Nurse Training","479424","04195400"
"Universal College of Beauty Inc-Los Angeles 2","3419 W 43rd Place, Los Angeles, California 90008","www.universalcollegeofbeauty.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","27","27","50%","NA","2016-17","$14,082","Cosmetology/Cosmetologist, General","372240","01244600"
"Universal Healthcare Careers College","1625 West Olympic Boulevard, Suite 708, Los Angeles, California 90015-3811","www.uhcc.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","156","156","96%","NA","2016-17","$24,060","Medical/Clinical Assistant","485573","04245500"
"Universal Technical Institute of California Inc","9494 Haven Avenue, Rancho Cucamonga, California 91730-0000","www.uti.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","1386","1386","59%","NA","Fall 2016","$17,849","Automobile/Automotive Mechanics Technology/Technician","438504","00822103"
"Universal Technical Institute of Northern California Inc","4100 Duckhorn Drive, Sacramento, California 95834","www.uti.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","1289","1289","66%","NA","Fall 2016","$22,005","Automobile/Automotive Mechanics Technology/Technician","448433","02100505"
"Universal Technical Institute-Southern California","4175 E. Conant Street, Long Beach, California 90808-1789","https://www.uti.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","1075","1075","64%","NA","Fall 2016","$22,602","Automobile/Automotive Mechanics Technology/Technician","487597","00822106"
"University of Antelope Valley","44055 Sierra Highway, Lancaster, California 93534","www.uav.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","814","762","67%","NA","Fall 2013","NA","Emergency Care Attendant (EMT Ambulance)","442930","03427500"
"University of East-West Medicine","595 Lawrence Expressway, Sunnyvale, California 94085-3922","www.uewm.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","176","","NA","NA","Fall 2013","NA","-","447801","03995300"
"University of Phoenix-California","3110 East Guasti Road, Ontario, California 91761","https://www.phoenix.edu","4-year, Private for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","No","4740","3756","22%","NA","Fall 2013","$13,223","-","484631","32098800"
"University of St. Augustine for Health Sciences","700 Windy Point Drive, San Marcos, California 92069","www.usa.edu","4-year, Private for-profit","Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","Suburb: Large","No","4353","","NA","NA","Fall 2013","NA","-","367954","03171300"
"University of West Los Angeles","9800 S. La Cienega Blvd., Inglewood, California 90301","www.uwla.edu","4-year, Private for-profit","Bachelor's degree|Master's degree|Doctor's degree - professional practice","Suburb: Large","No","204","5","NA","NA","Fall 2013","NA","-","484862",""
"Urban Barber College","1809 Willow Pass Rd, Concord, California 94520-2522","urbanbarbercollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","150","150","NA","NA","2016-17","$12,001","Barbering/Barber","491756","04270000"
"Urban Barber College - San Jose","576 East Santa Clara Street Suite #10, San Jose, California 95112-2042","www.urbanbarbercollege.com","< 2-year, Private for-profit","One but less than two years certificate","","No","","","NA","NA","2016-17","NA","Barbering/Barber","49175601","04270001"
"Valley College of Medical Careers","8399 Topanga Canyon Blvd Ste 200, West Hills, California 91304","www.valleycollegeofmedicalcareers.info/","2-year, Private for-profit","Less than one year certificate|Associate's degree","City: Large","No","94","94","82%","NA","Fall 2016","$24,437","Medical/Clinical Assistant","449445","04114500"
"Victory Career College","19401 South Vermont Avenue, Torrance, California 90502-4434","victorycareercollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","123","123","78%","NA","2016-17","$8,868","Aesthetician/Esthetician and Skin Care Specialist","491899","04273300"
"Waynes College of Beauty","1271 North Main Street, Salinas, California 93906-2830","www.waynescollegeofbeauty.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","42","42","67%","NA","2016-17","$13,692","Cosmetology/Cosmetologist, General","125310","02061600"
