"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Folsom Lake College","10 College Parkway, Folsom, California 95630","https://www.flc.losrios.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","8945","8945","34%","14%","Fall 2016","$7,078","-","444219","03871300"
"Foothill College","12345 El Monte Rd, Los Altos Hills, California 94022","https://foothill.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","15123","15123","61%","11%","Fall 2013","$6,662","-","114716","00119900"
"Fresno City College","1101 E. University Ave, Fresno, California 93741","www.fresnocitycollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","24806","24806","21%","6%","Fall 2016","$4,320","-","114789","00130700"
"Fullerton College","321 E Chapman Avenue, Fullerton, California 92832-2095","www.fullcoll.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","22613","22613","30%","14%","Fall 2016","$8,198","-","114859","00120100"
"Gavilan College","5055 Santa Teresa Blvd, Gilroy, California 95020","https://www.gavilan.edu","2-year, Public","Less than one year certificate|Associate's degree","Suburb: Small","No","5573","5573","31%","13%","Fall 2016","$6,605","-","114938","00120200"
"Glendale Community College","1500 N Verdugo Rd, Glendale, California 91208-2894","https://www.glendale.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","13584","13584","36%","12%","Fall 2016","$4,210","-","115001","00120300"
"Golden West College","15744 Goldenwest St., Huntington Beach, California 92647-2710","www.goldenwestcollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","12025","12025","36%","10%","Fall 2016","$5,530","-","115126","00120600"
"Grossmont College","8800 Grossmont College Dr, El Cajon, California 92020-1799","https://www.grossmont.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","16958","16958","29%","13%","Fall 2016","$4,924","-","115296","00120800"
"Hacienda La Puente Adult Education","14101 E. Nelson Ave, La Puente, California 91746-0002","www.hlpae.com","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","812","812","91%","NA","Fall 2016","$3,294","Cosmetology, Barber/Styling, and Nail Instructor","383084","00565500"
"Hartnell College","411 Central Avenue, Salinas, California 93901","www.hartnell.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","13024","13024","36%","6%","Fall 2016","$7,127","-","115393","00120900"
"Humboldt State University","1 Harpst Street, Arcata, California 95521-8299","www.humboldt.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","7180","6580","49%","5%","Fall 2013","$14,766","-","115755","00114900"
"Imperial Valley College","380 E. Aten Road, Imperial, California 92251-0158","www.imperial.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","8511","8511","35%","7%","Fall 2016","$1,814","-","115861","00121400"
"Irvine Valley College","5500 Irvine Center Drive, Irvine, California 92618-0301","www.ivc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","12812","12812","46%","15%","Fall 2016","$4,352","-","116439","02539500"
"Lake Tahoe Community College","One College Drive, South Lake Tahoe, California 96150","www.ltcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","2577","2577","29%","25%","Fall 2016","$9,401","-","117195","01290700"
