"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Dell'Arte International School of Physical Theatre","131 H Street, Blue Lake, California 95525-0816","www.dellarte.com/school","4-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate|Master's degree","Rural: Fringe","No","31","18","100%","NA","Fall 2013","NA","-","113537","03025600"
"Dominican School of Philosophy & Theology","2301 Vine Street, Berkeley, California 94708-1816","https://www.dspt.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","Yes","67","","NA","NA","Fall 2013","NA","-","113704","00129600"
"Dominican University of California","50 Acacia Ave, San Rafael, California 94901-2298","https://www.dominican.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Small","Yes","1878","1460","70%","25%","Fall 2013","$34,905","-","113698","00119600"
"Dongguk University Los Angeles","440 Shatto Pl, Los Angeles, California 90020-1704","www.dula.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","131","16","NA","NA","Fall 2013","NA","-","122117","03109500"
"Epic Bible College","4330 Auburn Boulevard, Sacramento, California 95841","EPIC.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","145","118","14%","14%","Fall 2013","$4,840","-","124487","03403300"
"Fielding Graduate University","2020 De La Vina St, Santa Barbara, California 93105-3538","www.fielding.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Small","No","981","","NA","NA","Fall 2013","NA","-","114549","02096100"
"Franciscan School of Theology","5998 Alcala Park, San Diego, California 92110","www.fst.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","Suburb: Large","No","54","","NA","NA","Fall 2013","NA","-","114734","01179200"
"Franciscan School of Theology - San Diego","5998 Alcala Park, San Diego, California 92110-2492","","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","","","","","NA","NA","Fall 2013","NA","-","11473402","01179203"
"Fresno Pacific University","1717 S Chestnut Ave, Fresno, California 93702-4709","www.fresno.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","4300","2947","67%","NA","Fall 2013","$19,298","-","114813","00125300"
"Fuller Theological Seminary","135 N Oakland Ave, Pasadena, California 91182","www.fuller.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","2265","","NA","NA","Fall 2013","NA","-","114840","00120000"
"Gemological Institute of America-Carlsbad","5345 Armada Dr, Carlsbad, California 92008","www.gia.edu/gem-education","< 2-year, Private not-for-profit","Less than one year certificate","City: Midsize","No","167","167","93%","NA","2016-17","$26,132","Metal and Jewelry Arts","114947","02231900"
"Golden Gate University-San Francisco","536 Mission Street, San Francisco, California 94105-2968","www.ggu.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","2432","511","NA","NA","Fall 2013","NA","-","115083","00120500"
"Golden Gate University-Silicon Valley","3000 Mission College Blvd, Santa Clara, California 95054-2218","www.ggu.edu/","4-year, Private not-for-profit","Master's degree","City: Midsize","","","","NA","NA","Fall 2013","NA","-","11508306","00120504"
"Grace Mission University","1645 West Valencia Drive, Fullerton, California 92833-3860","www.gm.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree","Suburb: Large","No","247","121","81%","NA","Fall 2013","$14,229","-","481058","04157800"
"Graduate Theological Union","2400 Ridge Rd, Berkeley, California 94709","WWW.GTU.EDU","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","197","","NA","NA","Fall 2013","NA","-","115214","00120700"
"Harvey Mudd College","301 Platt Blvd., Claremont, California 91711","https://www.hmc.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","904","904","92%","6%","Fall 2013","$39,411","-","115409","00117100"
"Haven University","12761 Euclid St.,, Garden Grove, California 92840-1340","www.haven.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","32","18","NA","NA","Fall 2013","NA","-","111045","04274800"
"Hebrew Union College-Jewish Institute of Religion-Los Angeles","3077 University Ave, Los Angeles, California 90007-3796","huc.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","","","","NA","NA","Fall 2013","NA","-","20306702","00405402"
"High Tech High Graduate School of Education","2861 Womble Road, San Diego, California 92106","hthgse.edu","4-year, Private not-for-profit","Master's degree","City: Large","No","59","","NA","NA","Fall 2013","NA","-","485403","04217400"
"Holy Names University","3500 Mountain Blvd, Oakland, California 94619-1699","www.hnu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Large","Yes","966","669","48%","4%","Fall 2013","$23,407","-","115728","00118300"
"Homestead Schools","23800 Hawthorne Blvd. Ste 200, Torrance, California 90505","www.homesteadschools.net","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree","City: Midsize","No","182","182","83%","NA","Fall 2013","$14,858","Licensed Practical/Vocational Nurse Training","457086","04149700"
"Hope International University","2500 E Nutwood Ave, Fullerton, California 92831-3199","www.hiu.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","1130","633","54%","29%","Fall 2013","$20,850","-","120537","00125200"
"Humphreys College-Modesto","3600 Sisk Rd Ste 5A, Modesto, California 95356-0532","www.humphreys.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","","","NA","NA","Fall 2013","NA","-","11577301","00121203"
"Humphreys University-Stockton and Modesto Campuses","6650 Inglewood Ave, Stockton, California 95207-3896","www.humphreys.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","No","486","309","44%","28%","Fall 2013","$12,650","-","115773","00121200"
"Hypnosis Motivation Institute","18607 Ventura Blvd Ste 310, Tarzana, California 91356-4159","hypnosis.edu","< 2-year, Private not-for-profit","Less than one year certificate","City: Large","No","61","61","33%","NA","2016-17","$34,354","Hypnotherapy/Hypnotherapist","368771","02545900"
"ICOHS College","1770 4th Avenue, San Diego, California 92101-2607","https://icohs.edu","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","101","101","79%","NA","2016-17","$47,745","Holistic Health","491659","04265500"
"Institute of Buddhist Studies","2140 Durant Avenue, Berkeley, California 94704","www.shin-ibs.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Midsize","Yes","23","","NA","NA","Fall 2013","NA","-","489335",""
"Irell & Manella Graduate School of Biological Sciences at City of Hope","1500 East Duarte Road, Duarte, California 91010-3000","https://www.cityofhope.org/grad-school","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","91","","NA","NA","Fall 2013","NA","-","441238","03592400"
"Jesuit School of Theology of Santa Clara University","1735 LeRoy Ave, Berkeley, California 94709","www.scu.edu/jst","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","","","","NA","NA","Fall 2013","NA","-","12293101","00132604"
"John F. Kennedy University","100 Ellinwood Way, Pleasant Hill, California 94523-4817","https://www.jfku.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","No","1125","373","NA","NA","Fall 2013","NA","-","116712","00448400"
"John Paul the Great Catholic University","155 W. Grand Ave, Escondido, California 92025","https://jpcatholic.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","278","272","58%","NA","Fall 2013","$30,581","-","462354","04193700"
"Keck Graduate Institute","535 Watson Dr, Claremont, California 91711","www.kgi.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","580","","NA","NA","Fall 2013","NA","-","440031","03853300"
"La Sierra University","4500 Riverwalk Parkway, Riverside, California 92505-8247","https://lasierra.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","2159","1746","47%","NA","Fall 2013","$25,414","-","117627","00121500"
"Laguna College of Art and Design","2222 Laguna Canyon Rd, Laguna Beach, California 92651","www.lcad.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Rural: Fringe","Yes","834","784","57%","NA","Fall 2013","$37,801","-","117168","02330500"
"Life Chiropractic College West","25001 Industrial Blvd, Hayward, California 94545-2800","www.lifewest.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","Suburb: Large","No","600","","NA","NA","Fall 2013","NA","-","117520","02228500"
"Life Pacific University","1100 W. Covina Blvd., San Dimas, California 91773-3298","https://www.lifepacific.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","552","459","45%","NA","Fall 2013","$20,642","-","117104","02270600"
"Lincoln University","401 15th Street, Oakland, California 94612-2801","www.lincolnuca.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","475","95","78%","22%","Fall 2013","NA","-","117557","00697500"
"Loma Linda University","11139 Anderson Street, Loma Linda, California 92350","www.llu.edu/index.html","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","Suburb: Large","Yes","4462","1192","NA","NA","Fall 2013","NA","-","117636","00121800"
