OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
3814400,Soka University Of America,"351,126.00","175,563.00","1 University Drive, Aliso Viejo, California 92656-8081","4-year, Private not-for-profit",419.0,406.0,89%,
125900,Palo Verde College,"349,166.00","174,583.00","One College Drive, Blythe, California 92225","2-year, Public",4540.0,4540.0,33%,7%
1290700,Lake Tahoe Community College,"348,926.00","174,463.00","One College Drive, South Lake Tahoe, California 96150","2-year, Public",2577.0,2577.0,29%,25%
4193700,John Paul The Great Catholic University,"343,805.00","171,903.00","155 W. Grand Ave, Escondido, California 92025","4-year, Private not-for-profit",278.0,272.0,58%,
125500,Pacific Oaks College,"340,238.00","170,119.00","45 W Eureka Street, Pasadena, California 91103","4-year, Private not-for-profit",1163.0,494.0,,
2075800,Southern California Institute Of Architecture (The),"339,620.00","169,810.00","960 E. 3rd Street, Los Angeles, California 90013-1822","4-year, Private not-for-profit",497.0,240.0,94%,
4259800,California Institute Of Arts & Technology,"338,044.00","169,022.00","2820 Camino Del Rio South Suite 100, San Diego, California 92108-3822","2-year, Private for-profit",372.0,372.0,,
121700,Lassen College,"335,004.00","167,502.00","478-200 Hwy 139, Susanville, California 96130","2-year, Public",2526.0,2526.0,24%,23%
4132700,Healthcare Career College,"331,157.00","165,579.00","8527 Alondra Blvd, #174, Paramount, California 90723-5258","2-year, Private for-profit",333.0,333.0,95%,
2064300,Sierra College Of Beauty,"321,871.00","160,936.00","1340 W 18th St, Merced, California 95340","< 2-year, Private for-profit",138.0,138.0,90%,1%
4164400,Angeles Institute,"319,593.00","159,797.00","17100 PIONEER BLVD, SUITE 170, ARTESIA, California 90701-2713","< 2-year, Private for-profit",84.0,84.0,29%,
3067400,Baldwin Park Adult School,"319,015.00","159,508.00","4640 N. Maine Ave, Baldwin Park, California 91706-4221","< 2-year, Public",305.0,305.0,76%,
4208900,Advanced Career Institute,"311,065.00","155,533.00","1728 North Kelsey Street, Visalia, California 93291","< 2-year, Private for-profit",637.0,637.0,80%,
1202600,Bellus Academy,"310,881.00","155,441.00","1073 E Main St, El Cajon, California 92021","2-year, Private for-profit",200.0,200.0,78%,
697500,Lincoln University,"310,107.00","155,054.00","401 15th Street, Oakland, California 94612-2801","4-year, Private not-for-profit",475.0,95.0,78%,22%
3935300,California Nurses Educational Institute,"309,864.00","154,932.00","5200 E. Ramon Rd. Suite I-1, Palm Springs, California 92264","< 2-year, Private for-profit",217.0,217.0,82%,
4149700,Homestead Schools,"309,756.00","154,878.00","23800 Hawthorne Blvd. Ste 200, Torrance, California 90505","4-year, primarily associate's, Private not-for-profit",182.0,182.0,83%,
2138300,Palo Alto University,"303,711.00","151,856.00","1791 Arastradero Rd, Palo Alto, California 94304-1337","4-year, Private not-for-profit",1075.0,68.0,,
3063400,Modern Technology School,"300,190.00","150,095.00","16560 Harbor Blvd., Suite K, Fountain Valley, California 92708-9821","2-year, Private for-profit",95.0,95.0,89%,
